,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
366,-1.5524805,-0.5048275,0.8651972,1.8696129,2.5499642,3.1039953,3.2149017,3.0858755,2.8285086,2.390635,1.6536832,1.9182026,0.8371234,-0.4169345,-1.4437258,-2.6843011,-2.5022924,-3.696406,-0.7416427,-1.8588006,-1.8343806,-0.30999184,0.8319855,1.345098
365,-1.4407814,-1.0968506,-1.4985383,-1.2948751,-0.91297626,-1.7608166,-1.3672948,-1.0235131,-0.59701204,-0.075513124,-1.2417138,-0.3331542,-1.2950182,-1.5051365,-1.1391103,-1.0914207,-1.1754692,-0.784564,-0.8262515,-1.2526035,-1.4272153,-1.5338123,-1.5859067,-1.9421935
364,-1.3516068,-0.8300245,-1.534462,-2.552563,-2.3905694,-1.9362986,-1.6573966,-1.577884,-0.9817898,-1.0412037,-0.94287395,-1.3409495,-1.2138486,-1.547128,-0.9956181,-1.5103102,-1.4334738,-0.90492964,-1.3540149,-0.39021373,-0.628227,-1.1380672,-1.4150441,-1.7480791
363,-3.022176,-2.4579823,-2.3139417,-2.7414918,-3.0287504,-3.1637669,-2.6993513,-1.7859638,-1.601702,-1.632446,-2.094841,-1.8740714,-1.4211833,-0.7131696,-0.11100173,0.56284666,0.98656416,-1.0902286,-2.685517,-3.9554834,-1.4296472,-2.694112,-2.3276567,-2.297169
362,-1.6941369,-2.0920098,-1.4076829,-0.6431043,-1.2166381,-2.5020838,-2.282399,-1.807791,-1.7915606,-2.4830759,-2.5604427,-2.4833977,-2.3613393,-3.3693492,-2.9439926,-2.95344,-4.096389,-2.2758842,-1.1002004,-1.2280822,-1.6649187,-2.2385716,-2.6809156,-1.1775672
361,-0.021922588,0.33861995,0.9971857,1.6678035,0.94424486,1.1224985,1.511538,-0.022393465,0.39352775,0.5364418,0.82029104,0.6391883,0.6235182,1.8816829,1.9887149,2.0336092,0.62749386,-1.10569,3.0039728,1.5109599,-3.030485,-3.4077704,-0.31509995,-1.5143633
360,-2.0855248,-1.123029,-1.381427,-1.8817663,-0.8369744,-1.4211357,-0.64455867,0.4603684,1.3244689,0.5134165,1.7362773,2.6795208,2.7343333,2.9173017,2.9084146,0.67570806,-0.036889315,0.7707536,0.5950749,-0.37445426,1.6190827,1.2389779,0.6366074,-0.07445812
359,-0.7239342,-2.693838,-2.4196923,-1.4785528,-1.6762197,-1.6298473,-0.9416282,-0.92508197,-1.5731871,-1.4639437,-1.1900544,-1.4321148,-1.2750268,-1.2783587,-1.6000807,-1.3771594,-1.2497008,-2.2969306,-0.85558295,-1.4568448,-1.3375223,-1.2295663,-0.53801537,-1.937902
358,-2.2320569,-2.429843,-2.556789,-2.3248255,-3.2064438,-2.8963983,-1.5938938,-2.1447718,-1.628995,-1.6840756,-1.1623919,-1.6504049,-1.3526678,-1.5164733,-1.1448383,-1.4966667,-2.446866,-1.2410998,-0.48587322,-0.4756093,-1.118505,-0.98524094,-0.9285927,-0.91598034
357,-5.036688,-4.842907,-4.3498936,-4.0303946,-4.1253386,-4.029769,-3.555739,-4.248601,-3.6471546,-3.8696587,-3.7338257,-3.4884036,-3.4128845,-2.999258,-3.1291008,-3.0238867,-2.4829805,-2.5662422,-2.805823,-1.6685069,-1.5390813,-1.8702745,-2.2187114,-1.7325163
356,-3.5191774,-1.7625272,-2.2059739,-1.451999,-3.5716891,-3.231281,-2.7044594,-1.9459426,-1.5037119,-2.7157247,-2.5106966,-3.121668,-2.574265,-2.6779652,-2.85151,-2.8605998,-2.7420402,-4.1435776,-3.780079,-4.5632243,-5.302554,-4.6508255,-4.3070197,-4.979384
355,-2.5942683,-2.0103574,-3.3606172,-3.056997,-2.7570963,-2.6807547,-1.9599915,-1.4078379,-2.1493018,-2.2022128,-2.303636,-1.1562288,-1.1039972,-1.0845482,-1.2363613,-0.91888905,-1.3844907,-2.3552775,-2.9173255,-2.0361006,-1.6767979,-2.7282298,-3.291297,-4.0349245
354,-2.988398,-2.7665257,-2.8682113,-2.709514,-2.4461687,-3.032279,-2.7956784,-2.8651118,-2.7073383,-2.988398,-3.2275558,-3.1145155,-3.1210124,-3.141445,-2.8201938,-2.951336,-2.2916317,-2.6357472,-2.4180114,-2.8148055,-3.361839,-3.028071,-2.1484852,-1.7789781
353,-1.953727,-2.4033606,-1.7096937,-2.1917999,-1.4627516,-1.227045,-1.487273,-1.4089286,-1.6119897,-1.9752622,-1.8254101,-1.5109301,-1.7113924,-1.672548,-2.1149874,-1.7804265,-1.4694393,-2.069831,-2.544099,-2.5013745,-2.93563,-2.3920178,-3.5284638,-3.6836922
352,-0.7663727,-0.7287562,-0.7382393,-0.972563,-0.83975196,-0.5753815,-0.44537187,-0.18318295,-0.09868145,-1.3445079,-1.71085,-1.1050045,-0.5646229,-0.21263957,0.21208525,0.49122572,0.2609253,0.13694167,-0.9662986,-1.0243475,-1.5583932,-0.92947483,-1.1282206,-3.3068955
351,1.0993004,1.2084842,1.4145136,0.96728206,1.2475312,1.3486445,1.2256563,0.78486204,2.508539,2.5485814,1.7166376,1.447463,1.1708915,3.6539018,3.2066762,2.532792,1.9162536,0.70619583,0.85296035,0.23205876,-0.18442273,-0.04607439,-1.3635337,-0.89333653
350,-0.41740537,-0.28078556,-0.43452978,-1.3010681,-1.1270523,-0.4854083,-0.7456839,-0.009226799,0.027704239,0.3301084,0.29796362,0.8676052,1.1895955,0.984329,1.5082419,1.4578104,1.2065291,0.64196587,2.1019578,1.7759085,1.6786933,0.5318582,1.4428854,1.351434
