,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
366,-7.1216793,-6.7603054,-4.9605665,-3.0513465,-2.3967326,-2.1403015,-1.6404152,1.7100096,5.968213,7.068157,7.888758,7.4177384,-3.7807882,-3.1877518,-4.606855,-5.4729104,-6.6619577,-7.6591163,-7.008809,-6.4822016,-6.496114,-5.722961,-2.2136064,-1.1732787
365,-3.6422431,-3.8503408,-3.3063948,-3.564018,-3.137982,-2.5983453,-3.9319038,-3.3096194,-2.1436214,-2.7787387,-2.8388858,-3.1676292,-2.3288488,-3.2070994,-2.7443767,-3.2805502,-2.4142742,-3.2173276,-1.924634,-3.5295606,0.519824,0.30484498,-0.13357699,-0.9699106
364,-3.73981,-4.4934034,-4.481596,-4.4505,-3.9135814,-4.0487947,-4.9042344,-4.206115,-4.1271744,-4.395318,-4.4287863,-6.3470364,-4.7608256,-5.311978,-5.8451653,-5.596858,-5.6779504,-5.36834,-4.9960523,-5.5576086,-5.5006924,-4.432535,-3.7507625,-3.5826743
363,-2.8286874,-3.3769011,-3.7314653,-3.1350017,-4.243672,-3.7243962,-3.0715704,-2.3930252,-1.525718,-3.9102852,-4.906559,-4.636562,-3.321284,-2.9058337,-3.662473,-3.8987398,-3.6227226,-2.9500484,-3.6140025,-4.295835,-4.289156,-3.8012326,-3.3139796,-3.9324045
362,-1.8714637,-2.374816,-2.2447765,-1.627636,-1.4964163,-0.6085098,-0.8982122,-1.8393576,-2.4501562,-2.5877953,-1.2582302,-2.453196,-3.1955302,-2.4563074,-2.9099107,-2.7865708,-2.5655508,-1.575923,-2.4111958,-2.958715,-3.3294468,-2.1907,-1.1409521,-2.4190426
361,1.0941803,1.2876809,0.5544305,0.34777522,1.0283887,1.98856,1.0216236,1.7113328,2.0707428,1.8401027,0.9697914,1.9990027,0.64859986,0.7337034,0.1783073,0.4087925,-0.9184778,-0.33527017,-1.3125628,-1.1015415,-1.1272281,-1.3133407,-2.3226738,-2.4336755
360,-1.0425508,-1.0243416,-1.234895,0.3526032,1.7502904,2.01028,2.452141,2.4093688,2.1170616,1.48803,0.025302172,1.2257338,3.2175064,1.6435742,0.461483,1.5361726,1.7067134,0.6814182,0.5381137,0.63422024,0.26496053,0.1529485,0.7628441,0.51882267
359,-1.1780739,-1.5331745,-1.9615412,-1.5344143,3.1018257,0.2894163,1.0340095,1.2992084,1.6946375,0.4707098,1.7321765,0.5706012,0.13141036,0.6520331,0.59071183,0.73294044,1.2138009,0.865221,0.08651018,0.053820014,-0.12618005,1.4578581,0.26205182,-0.109907985
358,-0.984329,-0.84813833,-1.12198,-0.30575395,-0.105661154,-0.66784024,-0.4342854,-0.44198036,0.042158365,0.20918846,0.4348278,1.0457098,1.1571646,1.4965475,1.8177152,1.6633153,0.9444177,1.2288511,1.296109,1.7558604,1.6629487,-0.31912923,2.6446013,-0.8466333
357,-2.9558153,-4.564947,-3.6450863,-4.406643,-4.16317,-3.8284779,-2.7310193,-2.6763558,-2.640301,-2.78216,-2.5948584,-2.374804,-2.5552034,-1.6898453,-0.9256184,-1.6008258,-1.3964832,-1.8060029,-1.434207,-2.1703243,-2.2085814,-1.3733625,-1.1224777,-1.9908994
356,-1.6711652,0.43277144,-0.1721561,1.0525107,1.9378662,1.5733182,1.541692,1.0126829,0.8817911,0.08054972,2.347809,-0.90994835,-0.44822097,0.7069826,-2.0795405,-3.2668948,-2.2696555,-2.7334452,-2.5152504,-3.6857934,-4.462907,-4.6017556,-3.6422193,-3.7584872
355,-1.9031465,-3.2893598,-1.8786371,-2.7781427,-1.775676,-3.7940502,-1.380372,-1.7512381,-1.853478,-1.3201356,-0.13304353,0.6419301,0.78843236,-0.23741126,0.9859562,0.93181133,1.0109782,2.5249362,1.4689863,0.6192595,-0.3775537,-1.1797518,-1.3550758,-2.2493243
354,-4.5001,-2.8444886,-2.246809,-3.152281,-2.2540927,-2.8482497,-2.5189638,-1.8891633,-2.8472066,-2.204305,-2.325809,-2.3522913,-0.830698,-0.9855032,-0.8371949,-0.88178515,-1.5827477,-3.211093,-3.7759662,-3.0251205,-2.3349702,-3.407377,-3.221974,-2.3923426
353,-5.9169054,-2.4185479,-2.3208141,-2.4615407,-2.4196267,-2.7335823,-2.7624547,-3.5996854,-4.273266,-4.446512,-4.4694843,-3.8672924,-2.8767288,-3.0142188,-2.7158916,-2.2383869,-2.295071,-0.88691115,-3.7097306,-3.6991625,-4.4203134,-3.0674696,-3.4863412,-3.8719268
352,-0.07854104,0.08561611,0.1698494,0.16291738,0.7657707,-0.44993758,-0.7164538,1.3569832,1.5319288,1.6277552,-0.767833,0.014698505,0.3286898,0.0808239,0.5319357,-0.113648176,-1.400876,-0.9466052,-2.5334506,-3.6108017,-3.8805814,-4.2800097,-3.6437333,-3.4038873
351,-1.663506,1.435858,-1.2634695,0.5820751,1.2697816,1.2929022,1.4042139,2.4864256,1.4057875,1.2367547,2.4271548,1.0409653,1.4552951,1.7822683,1.8629253,2.2645473,2.4739265,3.0274332,2.2185116,2.5262504,1.0460317,1.7705113,1.0689616,0.69746673
350,-3.6627145,-3.4876943,-4.2310357,-3.3132553,-2.2152662,-2.5016308,-2.8538406,-3.145212,-1.3976693,-2.2176504,-1.6103745,-2.4691224,-1.7005861,-1.1250973,-1.242131,-0.25054216,-3.0031621,-0.9745836,-0.78635216,-1.4128,-1.5125513,-2.2161455,-1.5648961,-1.6128182
349,-4.3533235,-4.636091,-3.7318885,-5.2282095,-5.609226,-4.8400164,-4.5149384,-5.335206,-6.401533,-6.2169433,-6.689024,-5.9282184,-6.821656,-7.1826935,-6.4433393,-5.530274,-5.8280888,-5.1812353,-4.7852573,-5.426517,-4.3062477,-4.2349906,-4.273838,-4.0067344
348,-2.3119867,-1.3819754,-0.71058273,-3.382486,-2.8070867,-2.1680295,-4.094249,-3.698939,-3.4727097,-4.3695745,-3.3026576,-3.1847715,-2.7488232,-4.0226755,-3.1091452,-3.598684,-3.59205,-4.3689876,-3.8967042,-4.2785974,-4.308924,-4.7480135,-4.8131557,-5.2559466
347,-2.2782474,-2.589035,-2.2794187,-3.1572819,-2.1991909,-1.8704832,-1.0419965,-3.6839843,-2.1364272,-1.7790318,-1.5906394,-3.0424476,-3.0852556,-3.317809,-2.338928,-2.1230996,-3.6702454,-4.01122,-2.0590782,-2.4393349,-2.110371,-2.011633,-2.3364096,-2.2396266
346,-2.488625,-3.0321717,-1.6817331,-3.0016959,-2.866459,-1.0165334,-0.9818077,-1.9459546,-2.0452201,-1.791352,-2.044028,-1.7243385,-1.8331945,-1.6349256,-1.9097805,-2.027911,-2.216977,-2.17579,-1.5882671,-2.3160696,-3.0503511,-2.7430296,-1.6263157,-2.2080512
345,-2.1099925,-0.34415722,-1.6817629,-0.38638115,-0.19661784,-0.5732,-1.7673612,-2.773255,-2.0131886,-1.4788806,0.12471676,-2.7253091,-2.615577,-2.000916,-2.818644,-2.4938583,-1.8965065,-2.2267222,-1.0182202,-1.3829678,-2.2780209,-3.024578,-2.901557,-2.4041562
344,0.55633783,-0.8094728,-0.13083816,0.24168491,0.7967293,-1.0159254,0.429976,0.9296179,-0.3746748,0.042629242,0.30303597,1.3368547,0.74332356,0.0787735,0.060743093,-0.058436394,-1.4759958,-2.2472382,-2.1969318,-0.09802282,-0.43852925,-1.2491941,0.20329952,-3.0768962
343,0.5457938,1.37285,-0.29076338,0.54376125,0.59514046,-0.40282607,-0.27991533,1.1182904,1.4797449,0.43355227,1.9208014,0.8063197,1.9710481,2.0752668,1.7961502,2.4201095,1.705718,2.289331,-0.07170439,1.0173619,0.9865314,0.29431283,-0.49837232,-0.78600645
342,0.93792677,1.0367274,1.4334917,1.1834204,0.17299652,0.3884554,1.3551235,2.0429313,3.0371547,2.8233051,2.8102279,2.396226,1.4538944,0.93171,1.4821768,1.2507558,0.44391155,1.2357771,1.3651878,-0.43616593,1.9110531,0.4821539,1.3202041,2.0464838
341,1.5769839,1.4499724,1.549995,0.20172,1.6320944,0.7362783,1.4514804,2.1729767,2.7617216,2.1026552,1.5347064,0.9248495,2.338606,1.23927,1.6631901,3.4763575,2.1237195,2.6571155,3.232524,2.5880246,2.275461,1.6973287,0.9292662,2.0843296
340,2.507183,1.8674314,1.7653823,2.867335,1.798594,2.899146,1.5290439,2.6319444,3.3858716,2.8152108,1.6935945,1.0531425,1.5452683,1.5179098,2.2129357,1.8253684,2.2310317,0.88055134,1.0278583,1.4224231,1.3771653,1.5163034,1.5640944,1.6788214
339,-1.2343287,-0.5972862,-0.9494841,0.13155341,0.45474172,0.018936396,1.0467827,-0.94156265,0.9654641,2.1338403,0.32547116,1.076287,1.7564535,3.224033,3.6851287,1.5709758,2.497077,3.3934295,3.362888,2.7605891,3.2710493,2.477616,2.9932976,2.614811
338,-3.427124,-3.1176329,-2.7438283,-2.3002207,-3.2333493,-3.5743296,-2.6661515,-2.0808458,-2.8414488,-0.48589706,-2.1754146,-1.0938883,-1.2197196,-1.5780091,-1.0360003,-1.1115134,-1.6013205,-1.9917905,-2.2282748,-1.9911915,-2.5842576,-0.7542461,-0.7861316,-1.4657378
337,-3.8305311,-3.951472,-3.0552924,-4.8741283,-2.2099495,-3.556037,-3.6445796,-4.542488,-3.0789137,-4.897034,-4.0995655,-4.167247,-3.7662327,-4.577863,-3.4051716,-2.5517464,-2.9231012,-4.114747,-3.7263691,-3.4464777,-3.5405965,-3.017807,-3.2541366,-2.0399094
336,-1.1683345,-1.2161076,-1.0838389,-2.1912158,-1.8627644,-0.7121563,-2.0838022,-0.6826103,-2.461958,-0.43735504,-0.18602014,0.35532713,0.4023552,0.26803613,0.5210638,0.22315979,0.074124336,-3.0088544,-2.1443546,-1.8897533,-2.2423923,-1.8653035,-2.6316314,-3.6238432
335,-0.10197163,0.21452904,1.3451517,1.0618389,2.3626626,1.8245459,2.0663023,2.4568915,1.9254744,1.9527853,1.2180686,1.4586568,1.0109603,2.1834552,1.554501,1.6543508,1.4282227,0.41894317,0.1616329,0.6676853,-0.019672513,-0.2781719,-0.22586286,-1.5338898
