,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
366,-3.8535058,-2.4703205,-3.3977807,-2.4458587,-2.5452077,-1.2504816,0.42012334,0.25570393,0.06271601,0.0063300133,-1.4713049,-3.3660054,-2.6452541,-2.5357544,-1.4352024,-1.8492401,-3.048563,1.9363284,0.6642163,3.881061,2.0075083,0.6057024,0.60479045,-0.3816247
365,-1.4474213,-0.40688515,0.34586787,1.5128493,2.3076713,1.3403475,1.1835992,1.3825238,0.5227864,-0.07677078,0.32690763,-0.03954768,-0.8635819,-1.4226437,-0.5138874,-1.4098644,-1.2536824,-0.7124901,-1.9111812,-2.6003718,-3.3358276,-2.9731214,-1.8847287,-1.5011847
364,-1.3332605,-0.2746582,-0.74492097,-1.314795,0.4814744,1.0269046,2.1160781,1.5731812,0.8223653,0.6415367,0.5890131,0.58535933,-0.0037431717,-0.64643025,0.22184849,0.6420255,-0.10753274,0.34646988,0.035649538,-1.5203178,0.31472445,1.0986388,-0.65161586,-0.076675415
363,2.5039494,1.3112485,1.968813,0.8210957,0.8060634,1.3660133,-0.08007884,1.254791,0.86503625,1.2562275,1.4157474,1.8981636,1.5168309,0.92048645,1.486367,3.152895,2.9595792,4.0225086,2.9127002,1.5642047,0.84221363,0.058192015,-0.6616771,0.48490167
362,0.16220808,1.23353,2.6521325,3.6391735,3.2614946,2.9832006,2.8310776,2.305472,1.9875407,1.736635,0.72115064,1.90624,0.8137703,3.905946,4.1740537,3.5332918,1.7332137,3.5449505,-0.60626864,1.3514638,2.3810565,0.8315921,2.7815342,2.1063983
361,-1.9278884,-1.6961694,-0.11498928,0.24956465,0.8276284,0.006008148,-0.0757575,-0.5291343,-0.3455639,0.13747215,0.3871739,0.97249746,-0.08197427,1.9031107,1.9663632,2.1769047,3.5959542,2.3362517,1.9972146,1.00829,1.8744111,1.0721684,2.1016717,0.08344054
360,1.1273444,-0.6247759,-0.49641132,-0.8907616,-0.6008446,-0.597322,-0.05865097,0.76621175,1.7891109,1.0827363,-0.039744377,0.0034689903,-0.1306057,-1.3678432,0.16257167,0.09492636,-0.6673217,-1.7311931,-1.9875288,0.12806654,-0.058317184,-2.0438433,-3.3129096,-3.138423
359,-0.24437308,-0.82419515,-2.7373135,-2.4242163,-3.0086696,-2.0031333,-0.90768933,0.06363988,-0.9142518,-1.5812516,-1.0597706,-2.1907508,-1.9800186,-2.4142683,-2.3352265,-1.0537088,-1.9947052,-1.5476823,0.46167374,-0.36289096,1.002264,0.15029311,0.05556941,1.5983939
358,-1.2335777,-1.026398,-2.0558417,-3.3424973,-2.8070807,-2.4801314,-2.6930034,-3.556025,-3.2066643,-3.3093572,-3.251505,-4.4835687,-3.28812,-3.1836808,-3.6147356,-4.0404263,-4.050064,-3.0173779,-0.7171273,-1.8776,-4.0933075,-2.5179625,-2.225715,-2.0713449
357,-4.328394,-1.824081,-3.084588,-1.7866194,-2.5589108,-2.1004617,-3.2955766,-2.6435971,-2.6510537,-2.3694515,-2.4363518,-3.3367395,-2.8313935,-2.982533,-2.547127,-3.4031868,-2.3401797,-3.659737,-2.3165226,-1.1418462,-1.5936613,0.054824352,-0.2842188,-0.11872053
