,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
366,1.8648071,1.690033,1.3204956,1.0711975,2.0351257,1.9359131,1.8409119,1.839386,1.8348694,1.7931519,1.7323914,1.6734619,1.638092,1.5863342,1.5214233,1.4735718,1.4486084,2.1120605,2.05719,1.9403381,1.9444275,1.888092,0.960022,1.0735474
365,2.6658936,2.8459473,2.7339783,2.668213,2.7131042,2.7258606,2.7250671,2.8180847,2.9071655,2.7398682,2.8318481,2.9462585,2.7216797,2.6818237,2.6678772,2.7497559,3.0065308,2.9161987,2.809784,2.9562378,3.1211548,2.9422913,3.0810242,3.2046509
364,3.051941,2.6324158,2.5466309,2.5587769,2.639038,2.6735535,2.5917358,2.7827759,2.6117249,2.5969543,2.5404663,2.5160828,2.6619263,2.6231995,2.6257324,2.6383057,2.4291382,2.6886902,2.7959595,2.895813,2.724762,2.7472534,2.8656616,2.8422546
363,2.9302979,2.5533752,2.6013184,2.6108398,2.7388306,2.7908936,2.5162048,2.5467834,2.6957397,2.5863647,2.6130676,2.5122986,2.426056,2.3144226,2.21698,2.243225,2.3318481,2.5706787,2.8406982,2.6453247,2.7142944,2.798706,2.7852173,2.762146
362,2.8442078,2.6235352,2.5755615,2.335022,2.6445923,2.2904663,2.3901367,2.362152,2.3597412,2.4310608,2.3885803,2.2915955,2.2035522,2.1461182,2.1438904,2.0601807,2.302765,2.421814,2.2185364,2.7414246,3.0184326,2.9944153,2.7556152,2.9497375
361,2.2847595,2.6939087,2.3031006,2.4180908,2.1736145,2.1834412,2.3128967,2.1793213,2.2083435,2.1671753,2.2633362,1.9239807,1.9359131,1.9808655,2.0506287,2.0490112,2.1807861,2.3878784,2.4242554,2.3208618,2.521881,2.4546509,2.3871765,2.4978943
360,2.4788818,2.2745972,2.1176453,2.1216125,2.291565,2.2601624,2.2478943,2.072998,2.1229553,2.1116333,2.1310425,2.1571655,2.1168518,2.0896912,2.0490723,2.0089722,2.1219177,2.2726746,2.0289307,2.3659973,2.596161,2.445221,2.383667,2.579712
359,2.4778137,2.2510376,2.1852417,2.1858215,2.175354,2.155548,2.082367,2.0959778,2.0964355,2.0725403,2.073822,1.9918213,1.8774414,1.7880859,1.8516846,1.8874512,2.0288086,2.2574158,2.341156,2.5341187,2.3126526,2.1299744,2.1607666,2.272522
358,2.4266663,2.3150635,2.375,2.2807007,2.2702942,2.2428284,2.2812195,2.2378235,2.1390076,2.054657,2.1291199,2.1233215,2.1669617,2.180542,2.1648254,2.1523743,2.1927795,2.2920227,2.3164978,2.2724304,2.5854797,2.587555,2.6192017,2.4966125
357,2.5386353,2.4050903,2.4130554,2.2895203,2.2695312,2.260376,2.1945496,2.1476135,2.1298828,2.154602,2.1993103,2.3016968,2.3964233,2.3595276,2.1495972,2.2792053,2.1837463,2.2579346,2.1870117,2.2426147,2.3781738,2.315918,2.3267517,2.3303833
356,2.5617676,2.4249268,2.3318481,2.3607178,2.2431946,2.1583862,2.302185,2.260498,2.215332,2.1942444,2.1385193,2.1342163,2.0726624,2.0673218,1.9959717,2.0316162,2.0823364,2.0993042,2.3148804,2.3571472,2.4134827,2.6870728,2.7967224,2.3547668
355,2.5068054,2.6299133,2.8992004,2.6277466,2.5921936,2.6273499,2.4906006,2.4785156,2.4700012,2.337616,2.4179993,2.3182983,2.3148193,2.4152832,2.2645264,2.3062744,2.157837,2.2948303,2.4432678,2.5827332,2.5285034,2.700409,2.7012634,2.801941
354,2.5727844,2.5293884,2.5480957,2.3872375,2.38797,2.3903198,2.450348,2.3737793,2.44516,2.4683533,2.2225952,2.3059692,2.3459473,2.3359375,2.359253,2.4708862,2.349945,2.4736023,2.618805,2.7098389,2.8960571,2.6299744,2.7593994,2.7621155
353,2.573822,2.4571533,2.385315,2.4560547,2.4003296,2.302948,2.3831787,2.4873352,2.3957214,2.4682007,2.39505,2.4812012,2.3051453,2.364746,2.3221436,2.3240051,2.4048767,2.5463257,2.743988,2.5589294,2.7128906,2.811676,2.7447205,2.6750183
