,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
366,1.4497375,1.2666016,1.2303467,1.4067383,1.5447388,1.6611633,1.8186035,1.8722534,1.9397888,1.9613953,1.865387,1.7139587,1.5759277,1.3790894,1.2242126,1.0747375,1.2627869,1.5527344,1.6937561,1.4342651,1.4828186,1.4262085,1.423706,1.3535461
365,2.0920715,2.0848694,2.0292664,2.1039124,2.0439453,2.1731567,2.000763,2.163208,2.2286987,2.333435,2.3467407,2.3901062,2.326294,2.3469543,2.2166748,2.1614685,2.0734253,2.2630005,2.2835999,2.5673523,2.663971,2.4687195,2.5455017,2.4502563
364,2.1757507,2.0733337,2.0565796,2.0260925,2.0778809,2.0629272,2.1061401,2.1137085,2.2029114,1.7072754,1.7020264,1.8330688,1.8053894,1.79422,1.9415283,1.9005737,1.8465881,2.1642456,2.064148,2.2114868,2.2192688,2.2371216,2.143219,2.10495
363,1.9689026,2.0099487,1.8762207,1.9515381,2.0202026,2.0054321,2.0430908,2.006073,1.9883423,1.9165344,1.9560547,1.9656677,1.9532471,1.8703613,1.793457,1.7632446,1.9772034,2.098877,2.086029,2.321167,2.1156921,2.1975708,2.37323,2.3280334
362,1.6395264,1.8675537,1.9091187,2.0041504,1.8991089,1.9807129,1.9589233,1.9257202,1.7637329,1.796936,1.7975464,1.6957092,1.6862793,1.6856995,1.6802673,1.590271,1.5480957,1.4558411,1.5732422,1.5793152,1.8100281,1.7629395,1.7654114,2.0472412
361,1.5098267,1.4707336,1.270935,1.3609924,1.5512695,1.4013367,1.5904846,1.6140137,1.7157593,1.4671631,1.638031,1.7927551,1.740448,1.6698914,1.6008606,1.6295166,1.6373596,1.6573486,1.5455322,1.5811462,1.9135742,1.5490417,1.6610107,1.3708191
360,1.2658997,1.5383606,1.5170898,1.3233337,1.521698,1.440918,1.3923645,1.5766602,1.6444702,1.6037903,1.5735779,1.4746704,1.6736145,1.6057129,1.6575317,1.6871033,1.4599609,1.5839233,1.7578125,1.675354,1.5857544,1.58844,1.5112305,1.39151
359,1.2452698,1.2562561,1.331543,1.3117981,1.332367,1.1543579,1.0823975,1.2078247,1.4332886,1.4298096,1.2544861,1.5654297,1.4710083,1.4938049,1.5178833,1.532898,1.4971008,1.4701233,1.4454956,1.1782837,1.3083801,1.411499,1.2017822,1.2105713
358,1.3592224,1.4386597,1.5353699,1.529602,1.3829346,1.5048218,1.5966492,1.3934937,1.5093994,1.3942261,1.3296509,1.4560547,1.3366394,1.3473511,1.27948,1.1795654,1.2114258,1.2471008,1.248291,1.3538208,1.2122192,1.2325134,1.2120972,1.3690186
357,1.4718018,1.5626526,1.5098267,1.5291443,1.4142456,1.8283386,1.6922913,1.5532837,1.510437,1.3882751,1.3329773,1.3352966,1.1460571,1.1184998,1.1611938,1.2120972,1.15979,1.3551025,1.3882751,1.3919067,1.5098267,1.5170288,1.5070496,1.5498047
356,1.6684875,1.5881958,1.6202087,1.5801697,1.5057373,1.4477234,1.3760376,1.3477478,1.3536987,1.3977051,1.3439026,1.1627197,1.248291,1.3691406,1.3279114,1.4171753,1.194397,1.3612671,1.3008728,1.3452148,1.2623291,1.3308105,1.5343628,1.4856567
355,1.6942749,1.8358154,1.7201233,1.6669617,1.6589355,1.7093506,1.741333,1.7744446,1.8017273,1.8459778,1.8042297,1.6720581,1.623352,1.7177429,1.6763916,1.8234253,1.581543,1.689331,1.704773,1.7139282,1.8184204,1.4684143,1.5192871,1.6739502
354,1.5903625,1.3876953,1.266571,1.3247375,1.2038574,1.2821655,1.2733154,1.4070129,1.367981,1.2831116,1.1595459,1.3119202,1.195404,1.263031,1.5250244,1.1793823,1.2524414,1.4914856,1.553009,1.7639465,1.873352,1.7469482,1.7359009,1.7502441
353,1.4314575,1.5290222,1.4595642,1.5634155,1.4295044,1.5216675,1.5432434,1.49646,1.4246216,1.4721985,1.4593811,1.4895325,1.6210022,1.3164062,1.5750122,1.3590088,1.0293579,1.3666992,1.4144897,1.2576599,1.304657,1.6292114,1.2449646,1.6470947
352,1.8527832,1.6401672,1.6427917,1.5743408,1.5533142,1.5380859,1.3874207,1.4804993,1.4055481,1.3332214,1.3886414,1.3010254,1.3147888,1.352417,1.3670654,1.3735962,1.3985901,1.2356567,1.6832275,1.4876709,1.4029846,1.3493042,1.4102783,1.4623718
351,2.011963,2.0767822,2.0549011,2.0110474,1.9558105,1.8721924,2.178711,2.2034607,2.2653503,2.035736,2.0804138,2.0300293,2.0503845,2.0056763,1.9555664,2.0362244,1.9597473,1.9312134,2.0085754,1.8141785,1.8222046,1.7593994,1.8873291,1.8936157
