,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
366,-0.37576294,0.9180908,0.6810608,0.9436035,0.4890747,0.38183594,2.131775,1.9674072,1.7263794,1.5255737,1.3808289,0.9642334,0.39727783,0.6828613,0.58258057,0.52441406,0.8441467,0.56689453,1.4815369,0.91238403,-0.18695068,1.0268555,1.3022156,1.5189514
365,1.8781738,1.7069397,1.6193542,1.5344849,1.5287476,1.527832,1.5406189,1.335022,1.7329407,1.3925476,1.6352844,1.3625793,1.3415833,1.4054565,1.3778687,1.4756165,1.206604,1.6210632,1.7634888,2.2893982,3.026764,2.847412,2.810028,2.2347107
364,1.8934326,1.8215637,1.8771973,1.7718201,1.5286865,1.5645142,1.563324,1.533905,1.7478027,1.7358398,1.9802856,1.9555664,2.0028381,2.0497131,1.9410706,1.7812805,2.0577393,1.9287415,1.8751831,2.394806,2.251007,1.7620239,2.001892,1.8737793
363,2.082428,1.6684875,1.5717468,1.6201172,1.3129272,1.4320068,1.309021,1.3436279,1.2355042,1.2817383,1.4188843,1.6307373,1.677124,1.4544678,1.2919617,1.4833374,1.5068054,1.5656128,1.5511475,1.8753967,2.1739502,2.7330322,2.542389,2.1560059
362,1.8189697,1.5859375,1.5136719,1.8135376,1.3009949,0.91830444,1.1094055,1.1239624,1.0473022,0.98202515,0.9532471,0.69000244,0.9281006,0.84069824,0.99172974,1.2040405,1.4032593,1.5841064,1.8502808,2.0057983,2.0660706,2.1845398,2.0713196,1.9354248
361,1.5296326,1.3622131,1.254364,1.3235474,1.5025635,1.1347656,1.1948547,1.2460632,1.7429199,1.0666809,1.2935181,1.545166,1.4707031,1.7139893,1.472229,1.5878296,1.4385071,1.5270691,1.6174011,1.9794006,1.9008179,1.9197388,1.6919556,2.4396362
360,1.6663818,1.598999,1.5175476,1.5966797,1.4082336,1.3188171,1.6134644,1.5820923,1.8172607,1.645874,1.5462952,1.453125,1.7539062,1.7223206,1.891571,1.5874939,1.8868103,1.6237183,1.6818542,1.4881592,1.5262756,1.4785461,1.3457947,1.4475098
359,1.3902283,1.5902405,1.0559998,1.3650208,1.1029663,1.0063782,0.7341614,1.1747131,1.1453247,1.4234314,1.431366,1.223053,1.3582153,1.2261658,1.1029663,1.1497803,1.637146,1.7463379,1.7395935,1.4713745,1.7122192,1.4650269,1.3545532,1.6437378
358,1.4630127,1.4397278,1.5209045,1.5929871,1.629425,1.7419739,1.7373657,1.6784668,1.4796143,1.517395,1.6996155,1.495636,1.4396667,1.6903992,1.4185486,1.4813232,1.4257507,1.4779053,1.4393005,1.3446045,0.84310913,1.1496887,1.6433411,1.6730652
357,1.8676453,1.6118469,1.290863,1.3649292,1.2514038,1.144989,1.2816162,1.2972717,1.2487793,1.2716675,1.2989807,1.2880554,1.5860596,1.2879028,1.3539124,1.3179626,1.6723938,1.5572815,1.7212219,1.7084045,1.7945251,1.1827393,1.3500366,1.396759
356,1.6892395,1.3768005,1.4981995,1.4103088,1.3578796,1.2190857,1.1940002,0.92611694,0.9620056,0.93847656,0.7001953,0.8869629,0.82724,0.83947754,0.68914795,0.21838379,0.38388062,0.97836304,1.2834778,1.5358887,1.811676,2.046753,2.11911,2.0577087
355,1.854187,1.4295044,1.6373596,1.448761,1.6408691,1.6108398,1.5276489,1.6373291,1.6218872,1.4786072,1.4812012,1.4399719,1.3203125,1.1091919,0.9312134,1.010498,0.8225708,1.442688,1.7250671,1.7919617,2.0164185,2.2642822,2.1298828,2.0934753
354,1.7381897,1.3439026,1.2252808,1.0795898,0.9277344,1.0940552,1.0617371,1.0289612,0.7620239,0.89346313,0.9376221,0.8670654,0.39233398,0.9487915,0.78323364,1.2945557,1.3311768,1.4092712,1.7556152,1.6578674,1.4616699,1.7885132,1.6972351,1.9103394
353,1.1228638,1.0317383,1.0612183,0.9142151,0.65319824,0.99938965,0.9878235,0.97540283,0.92108154,0.948761,1.125946,1.0386963,1.0557556,1.1796875,1.1024475,1.1276855,1.0609131,1.3397217,1.3634033,1.5787354,1.9653931,1.8239136,1.9882812,1.8554688
352,1.1559143,0.98098755,0.8890991,0.96383667,0.9295654,0.74298096,0.91470337,0.84939575,0.88656616,0.9569092,0.8041687,0.6826477,0.95269775,0.3711853,0.3287964,0.66363525,0.65023804,1.1512756,0.9760437,1.3052673,1.0577393,0.9684448,0.8387451,0.9873047
351,1.5986938,1.4165955,1.3399353,1.701477,1.8457031,1.5686646,1.3023071,1.4042969,1.4262695,1.3468933,1.1741943,1.2889099,1.1604614,1.0670471,1.0444641,0.97854614,1.130249,1.192627,1.3943481,1.6092224,1.4812012,1.1716614,1.273407,1.105072
350,1.552124,1.9374084,1.815979,2.0540771,2.18396,2.3311768,2.5437317,2.315033,2.2670898,2.3509216,2.5391235,2.743103,2.6565857,2.5541687,2.5143433,2.6464233,2.5875854,2.078827,2.2399597,2.3180237,1.9378052,1.869751,1.9714355,1.6271057
349,1.4198914,1.5856323,1.9619446,1.7512817,1.5558472,1.7765503,0.9646301,1.2895813,1.5787964,1.6410522,1.6011658,1.6988525,1.6132507,1.6324768,1.5761719,1.4397583,1.53125,1.4699402,1.2966309,1.3263855,1.3660889,1.8627014,2.051056,1.4789734
348,1.0975342,0.9244385,1.3859863,1.1333008,1.1177979,1.0645447,1.1677551,1.2883606,1.5215759,1.302002,1.2588806,1.0235596,1.2371521,0.54663086,1.0468445,0.6846924,0.9490967,1.1144714,1.3818359,1.1546326,0.92700195,0.891449,1.0871582,0.8357544
347,1.2145386,1.3743286,1.1950073,1.4837341,1.527832,1.2424011,1.5343933,1.5678711,1.5402527,1.5430908,1.4302368,1.4542847,1.6366882,1.9025269,1.069519,1.5201111,1.3003235,1.4872742,1.4734802,1.417633,1.2372131,1.1992188,1.0103455,0.84072876
