GCM,run,scenario,1.5,2.0,2.5,3.0,4.0
ACCESS-CM2,r3i1p1f1,ssp585,2037-07-16 12:00:00,2046-05-16 12:00:00,2053-11-16 00:00:00,2060-10-16 12:00:00,2075-05-16 12:00:00
ACCESS-CM2,r3i1p1f1,ssp370,2039-05-16 12:00:00,2048-12-16 12:00:00,2058-10-16 12:00:00,2068-06-16 00:00:00,2088-01-16 12:00:00
ACCESS-CM2,r3i1p1f1,ssp245,2040-05-16 12:00:00,2051-01-16 12:00:00,2066-02-15 00:00:00,2082-04-16 00:00:00,
ACCESS-CM2,r4i1p1f1,ssp585,2033-06-16 00:00:00,2044-01-16 12:00:00,2051-09-16 00:00:00,2058-09-16 00:00:00,2072-08-16 12:00:00
ACCESS-CM2,r4i1p1f1,ssp370,2035-04-16 00:00:00,2045-06-16 00:00:00,2054-10-16 12:00:00,2062-11-16 00:00:00,2079-12-16 12:00:00
ACCESS-CM2,r4i1p1f1,ssp245,2036-12-16 12:00:00,2048-09-16 00:00:00,2062-06-16 00:00:00,2079-05-16 12:00:00,
ACCESS-CM2,r5i1p1f1,ssp585,2033-03-16 12:00:00,2042-02-15 00:00:00,2050-05-16 12:00:00,2057-08-16 12:00:00,2071-03-16 12:00:00
ACCESS-CM2,r5i1p1f1,ssp370,2034-05-16 12:00:00,2044-02-15 12:00:00,2054-03-16 12:00:00,2064-03-16 12:00:00,2080-02-15 12:00:00
ACCESS-CM2,r5i1p1f1,ssp245,2036-01-16 12:00:00,2048-01-16 12:00:00,2059-11-16 00:00:00,2074-06-16 00:00:00,
ACCESS-CM2,r1i1p1f1,ssp585,2034-02-15 00:00:00,2044-01-16 12:00:00,2051-11-16 00:00:00,2059-06-16 00:00:00,2073-09-16 00:00:00
ACCESS-CM2,r1i1p1f1,ssp370,2034-09-16 00:00:00,2046-04-16 00:00:00,2057-11-16 00:00:00,2067-04-16 00:00:00,2084-11-16 00:00:00
ACCESS-CM2,r1i1p1f1,ssp245,2035-08-16 12:00:00,2047-01-16 12:00:00,2061-01-16 12:00:00,2079-05-16 12:00:00,
ACCESS-CM2,r2i1p1f1,ssp585,2035-10-16 12:00:00,2045-06-16 00:00:00,2053-01-16 12:00:00,2059-08-16 12:00:00,2073-09-16 00:00:00
ACCESS-CM2,r2i1p1f1,ssp370,2036-12-16 12:00:00,2047-03-16 12:00:00,2057-03-16 12:00:00,2067-11-16 00:00:00,2086-03-16 12:00:00
ACCESS-CM2,r2i1p1f1,ssp245,2038-02-15 00:00:00,2049-11-16 00:00:00,2062-01-16 12:00:00,2078-01-16 12:00:00,
