era-id,latitude,longitude,elevation,start-date,end-date,network,total_nobs
ASOSAWOS_69007093217,36.683,-121.767,-30479.6952,1960-04-04 00:00:00+00:00,1993-08-31 00:00:00+00:00,ASOSAWOS,14269
ASOSAWOS_72012200114,48.6,-113.117,1419.1488,2014-07-31 00:00:00+00:00,2015-09-30 00:00:00+00:00,ASOSAWOS,18666
ASOSAWOS_72019300117,40.747,-122.922,716.28,2010-10-30 00:00:00+00:00,2020-08-12 00:00:00+00:00,ASOSAWOS,210563
ASOSAWOS_72020200118,45.417,-123.817,11.2776,2005-01-03 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,401832
ASOSAWOS_72025400119,46.683,-122.983,54.2544,2007-02-16 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,399268
ASOSAWOS_72026723224,38.955,-121.082,466.6488,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,430436
ASOSAWOS_72027294282,48.467,-122.417,42.672,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,434412
ASOSAWOS_72032204129,48.299,-116.56,648.3096,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,430581
ASOSAWOS_72033353175,33.898,-117.602,162.4584,2006-09-07 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,170633
ASOSAWOS_72033900121,32.15,-111.167,737.0064,2007-11-15 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,68672
ASOSAWOS_72034594086,42.796,-109.807,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,435003
ASOSAWOS_72036524267,42.074,-124.29,139.9032,2005-08-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,256389
ASOSAWOS_72036904135,43.743,-111.098,43.742,2006-10-24 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,179597
ASOSAWOS_72038500419,39.8,-105.766,4113.276,2007-04-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,313223
ASOSAWOS_72038800469,47.104,-122.287,164.2872,2007-04-01 00:00:00+00:00,2022-12-29 00:00:00+00:00,ASOSAWOS,380196
ASOSAWOS_72040600135,38.15,-122.55,1.2192,2014-07-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,212125
ASOSAWOS_72041100137,36.422,-105.29,2554.224,2009-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,379549
ASOSAWOS_72051724165,41.824,-110.557,2220.468,2013-06-27 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,178394
ASOSAWOS_72051800449,41.393,-110.406,2145.4872,2013-08-01 00:00:00+00:00,2022-09-21 00:00:00+00:00,ASOSAWOS,181428
ASOSAWOS_72052100475,41.444,-106.828,2138.4768,2013-05-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,243166
ASOSAWOS_72052200443,43.548,-109.69,2224.1256,2013-05-14 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,236846
ASOSAWOS_72052900429,38.239,-108.563,1810.512,2012-12-06 00:00:00+00:00,2021-10-16 00:00:00+00:00,ASOSAWOS,187019
ASOSAWOS_72053100158,38.783,-108.067,1583.1312,2012-02-09 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,264209
ASOSAWOS_72053200159,38.533,-106.05,2294.2296,2009-11-21 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,295443
ASOSAWOS_72053300160,40.033,-105.217,1612.0872,2010-02-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,328593
ASOSAWOS_72053400161,40.017,-105.05,1564.2336,2014-07-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,213715
ASOSAWOS_72053500162,40.333,-103.8,1393.2408,2012-07-26 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,259237
ASOSAWOS_72053700163,40.567,-102.267,1137.2088,2010-11-29 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,286280
ASOSAWOS_72053800164,40.167,-105.167,1541.0688,2010-12-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,294112
ASOSAWOS_72053900165,37.283,-107.05,2335.0728,2009-10-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,333965
ASOSAWOS_72054400168,40.617,-103.267,1231.0872,2010-11-29 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,296494
ASOSAWOS_72054900171,39.183,-119.733,1432.2552,2010-07-14 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,310822
ASOSAWOS_72056724180,41.552,-112.062,1288.0848,2014-07-24 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,211183
ASOSAWOS_72057600174,38.533,-121.783,21.0312,2009-01-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,307459
ASOSAWOS_72061400205,38.909,-121.351,37.1856,2009-05-10 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,346152
ASOSAWOS_72061500206,38.033,-120.417,646.176,2009-01-20 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,332849
ASOSAWOS_72063500221,35.3,-112.2,2035.1496,2009-05-08 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,310421
ASOSAWOS_72063800224,44.095,-121.2,1055.2176,2009-05-24 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,344550
ASOSAWOS_72064400226,33.417,-112.683,311.2008,2013-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,244470
ASOSAWOS_72064500227,38.717,-120.75,787.2984,2009-07-11 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,298208
ASOSAWOS_72064600228,37.513,-122.501,20.1168,2009-07-17 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,370434
ASOSAWOS_72065200433,38.356,-119.519,2057.0952,2009-08-27 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,119390
ASOSAWOS_72073400264,43.581,-116.523,773.2776,2010-05-14 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,316985
ASOSAWOS_72074100269,35.947,-114.861,671.1696,2010-06-24 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,314361
ASOSAWOS_72074924255,48.35,-122.667,14.3256,2005-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,189121
ASOSAWOS_72083900279,39.667,-119.876,1540.1544,2011-09-21 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,281118
ASOSAWOS_72085200280,38.946,-104.57,2095.1952,2010-12-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,297648
ASOSAWOS_72092300310,48.726,-116.295,711.0984,2011-01-18 00:00:00+00:00,2022-12-31 00:00:00+00:00,ASOSAWOS,291198
ASOSAWOS_72096900341,44.15,-107.167,2741.0664,2012-01-30 00:00:00+00:00,2012-12-13 00:00:00+00:00,ASOSAWOS,6462
