Year,5%,Mean,95%
2015,1.004819771,1.094355372,1.191356909
2016,1.020225949,1.117928984,1.223910538
2017,1.037919257,1.143450954,1.257961742
2018,1.05563076,1.169831477,1.293765534
2019,1.072718511,1.194815689,1.333080909
2020,1.091036931,1.220170947,1.37075515
2021,1.10903394,1.246637159,1.406841456
2022,1.125932764,1.272722975,1.442604037
2023,1.143262484,1.298628835,1.473310669
2024,1.160836266,1.323940762,1.514017394
2025,1.17865779,1.349195876,1.549546991
2026,1.197034989,1.375721086,1.585632059
2027,1.215712848,1.40325435,1.622117376
2028,1.235792308,1.432134839,1.655038045
2029,1.255146496,1.460234515,1.692432562
2030,1.275278833,1.488259292,1.730267694
2031,1.295744599,1.517410639,1.768977616
2032,1.316980208,1.546276025,1.807687354
2033,1.33694704,1.57446024,1.847415638
2034,1.35946623,1.601990582,1.886146522
2035,1.381661204,1.629818762,1.924070302
2036,1.403978169,1.659600945,1.967068669
2037,1.426399279,1.690527409,2.006207027
2038,1.446730798,1.720359928,2.04663326
2039,1.47000673,1.74949416,2.086582468
2040,1.497057272,1.781320366,2.128589055
2041,1.522525371,1.815078355,2.166976675
2042,1.547611928,1.847174852,2.214677386
2043,1.571469404,1.876230382,2.25658778
2044,1.595442964,1.907567189,2.29976387
2045,1.619481419,1.940398884,2.343254962
2046,1.64429321,1.973963077,2.386487629
2047,1.669187416,2.006339542,2.429366419
2048,1.692866399,2.037212553,2.470722476
2049,1.717817482,2.066088305,2.513280735
2050,1.741237339,2.100658252,2.558017479
2051,1.766395101,2.133239502,2.599704479
2052,1.791891347,2.166502308,2.64346712
2053,1.81880757,2.200312819,2.687983501
2054,1.841548792,2.234904158,2.732865774
2055,1.86437941,2.268249558,2.781599759
2056,1.890380396,2.3003807,2.827362135
2057,1.917329206,2.333724096,2.872319337
2058,1.943529933,2.368426761,2.917282495
2059,1.967684459,2.403768093,2.963919837
2060,1.991583339,2.438560719,3.00982612
2061,2.017031072,2.473101372,3.056240383
2062,2.039082805,2.510043872,3.104100941
2063,2.065378282,2.546709029,3.152418654
2064,2.09198967,2.58408702,3.198879473
2065,2.117522442,2.62183267,3.248458548
2066,2.141511749,2.658745784,3.29757265
2067,2.167577405,2.695752566,3.346323494
2068,2.192251362,2.729997831,3.395707389
2069,2.220263205,2.764676095,3.444902872
2070,2.245425751,2.799205476,3.493878921
2071,2.272365182,2.837206249,3.543115349
2072,2.300354272,2.875600342,3.592440615
2073,2.327844687,2.912321573,3.642674969
2074,2.357693646,2.950057146,3.692318714
2075,2.387656519,2.987484987,3.743753445
2076,2.416924636,3.028042487,3.795487204
2077,2.441958592,3.065965237,3.847690732
2078,2.469616897,3.102424883,3.89889925
2079,2.499193852,3.140936604,3.95008048
2080,2.528447437,3.181039699,4.001346385
2081,2.555687923,3.218318401,4.053526173
2082,2.583027883,3.254365012,4.103912571
2083,2.611602736,3.29317655,4.157411058
2084,2.64027343,3.332336794,4.213172011
2085,2.668919219,3.371378585,4.268736129
2086,2.696717782,3.40911871,4.323224653
2087,2.727168131,3.448358067,4.377564293
2088,2.760144966,3.489697214,4.432394144
2089,2.789997852,3.529516524,4.484233766
2090,2.820434413,3.567628711,4.541136017
2091,2.847464529,3.606357659,4.595606189
2092,2.876382375,3.645376137,4.649576731
2093,2.904347473,3.684243773,4.704165499
2094,2.932247134,3.721228859,4.758397787
2095,2.959684718,3.758451683,4.812137964
2096,2.986875182,3.796472137,4.867172565
2097,3.014037051,3.835123649,4.922075236
2098,3.04039236,3.87238348,4.975588316
2099,3.066456893,3.908723065,5.027862931
