variable_id,long_name,unit,display_name,extended_description,colormap,show
LWDNB,instantaneous downwelling longwave flux at bottom,W m-2,Instantaneous downwelling longwave flux at bottom,Longwave radiation emitted by Earth's surface that is reflected back downwards by clouds. ,ae_orange,TRUE
LWDNBC,instantaneous downwelling clear sky longwave flux at bottom,W m-2,Instantaneous downwelling clear sky longwave flux at bottom,"Longwave radiation emitted by Earth's surface that is reflected back downwards by the atmosphere, excluding the effect of clouds.",ae_orange,TRUE
LWUPB,instantaneous upwelling longwave flux at bottom,W m-2,Instantaneous upwelling longwave flux at bottom,Total amount of longwave radiation outputted by Earth's surface. ,ae_orange,TRUE
LWUPBC,instantaneous upwelling clear sky longwave flux at bottom,W m-2,Instantaneous upwelling clear sky longwave flux at bottom,Longwave radiation emitted by Earth's surface that passes through the atmosphere (i.e. is not reflected back to the surface or absorbed by the atmosphere). ,ae_orange,TRUE
PSFC,sfc pressure,Pa,Surface Pressure,Air pressure at Earth's surface.,ae_diverging,TRUE
Q2,qv at 2 m,kg kg-1,Water Vapor Mixing Ratio at 2m,The ratio of the mass of water vapor over the mass of dry air at 2m above Earth's surface.,ae_blue,TRUE
RAINC,accumulated total cumulus precipitation,mm,Precipitation (cumulus portion only),"Any form of precipitation (rain, snow, etc.) that is produced specifically by cumulus/cumulonimbus clouds. These are generally small clouds that bring heavy precipitation.",ae_blue,TRUE
RAINNC,accumulated total grid scale precipitation,mm,Precipitation (grid-scale portion only),"Any form of precipitation (rain, snow, etc.) captured by the model resolution (i.e. 45km). Small clouds (including cumulus clouds) typically are excluded from this.",ae_blue,TRUE
RUNSB,subsurface runoff,mm/s,Subsurface runoff,"The rate at which  water that has infiltrated the ground surface travels underground until it reaches a body of water (stream, river, etc.)",ae_blue,FALSE
RUNSF,surface runoff,mm/s,Surface runoff,"The rate at which water travels over the ground surface until it reaches a body of water (stream, river, etc.)",ae_blue,FALSE
SNOW,snow water equivalent,kg m-2,Snow water equivalent,The amount of water that would be present if all snow melted. ,ae_blue,FALSE
SNOWNC,accumulated total grid scale snow and ice,mm,Snowfall (snow and ice),Portion of the total precipitation in the form of snow and ice.,ae_blue,TRUE
SWDDIF,shortwave surface downward diffuse irradiance,W m-2,Shortwave surface downward diffuse irradiance,"The portion of the total incoming solar radiation that has been scattered (by the atmosphere, clouds, etc.) before reaching the Earth's surface.",ae_orange,TRUE
SWDNB,instantaneous downwelling shortwave flux at bottom,W m-2,Instantaneous downwelling shortwave flux at bottom,"Shortwave radiation from the sun that reaches Earth's surface, minus radiation reflected back to space by clouds or absorbed by the atmosphere.",ae_orange,TRUE
SWDNBC,instantaneous downwelling clear sky shortwave flux at bottom,W m-2,Instantaneous downwelling clear sky shortwave flux at bottom,Shortwave radiation from the sun that reaches Earth's surface.,ae_orange,TRUE
SWUPB,instantaneous upwelling shortwave flux at bottom,W m-2,Instantaneous upwelling shortwave flux at bottom,"Shortwave radiation from the sun that is reflected by Earth's surface, some of which may be reflected back downwards by clouds (i.e. not reflected back to space).",ae_orange,TRUE
SWUPBC,instantaneous upwelling clear sky shortwave flux at bottom,W m-2,Instantaneous upwelling clear sky shortwave flux at bottom,Shortwave radiation from the sun that is reflected by Earth's surface back to space.,ae_orange,TRUE
T2,temp at 2 m,K,Air Temperature at 2m,Temperature of the air 2m above Earth's surface. This is the measure of air temperature used for most modeling applications.,ae_orange,TRUE
TSK,surface skin temperature,K,Surface skin temperature,"Temperature of the Earth's surface (i.e., ground surface).",ae_orange,TRUE
