Hour,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21,22,22,22,22,22,22,22,23,23,23,23,23,23,23,24,24,24,24,24,24,24
Simulation,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370,CESM2-r11i1p1f1-ssp370,CNRM-ESM2-1-r1i1p1f2-ssp370,EC-Earth3-r1i1p1f1-ssp370,FGOALS-g3-r1i1p1f1-ssp370,MIROC6-r1i1p1f1-ssp370,MPI-ESM1-2-HR-r3i1p1f1-ssp370,TaiESM1-r1i1p1f1-ssp370
Day of Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-01,0.0,-3.2351456,0.0,-0.87379456,0.0,-1.416851,0.0,0.9342804,-0.74679565,0.0,-0.8740196,0.0,-0.89593506,0.0,0.0,-0.4298935,0.0,-0.043945312,1.1323051,-0.82024384,-0.13480377,0.0,0.508667,0.0,-0.64001083,1.0990143,-0.046417236,0.0,0.0,-0.24537659,0.0,-0.14447021,0.0,-0.7276802,0.0,0.0,-1.3799362,0.0,-1.188446,0.9599304,-0.40643692,0.0,0.012084961,-0.16710663,0.0,-0.066581726,0.0,0.0,0.0,1.0118408,0.0,0.0,-1.0573235,0.3142624,-0.4261589,0.0,0.0,0.0,0.0,-1.4703522,0.0,0.0,0.0,1.5322609,0.0,0.0,-1.234314,2.0993729,0.0,0.39474106,0.0,0.0,0.0,-0.50520706,2.3728828,0.0,0.1566124,0.0,-0.91900635,0.0,-1.0575447,1.9456253,0.0,-0.47054672,0.0,-1.4323959,0.0,-1.4788132,2.1871033,-0.35639572,0.66934204,-2.4700012,-0.096458435,0.0,-1.6024666,1.1534004,0.152874,0.0,0.0,0.0,0.0,-1.6481667,0.23851395,0.26350784,0.0,-0.69670105,0.0,0.0,-2.6095276,0.040153503,0.0,0.0,-1.0523262,0.0,0.0,-2.9853706,0.092121124,0.0,0.0,0.0,-0.20753479,0.6091347,-2.4630775,-0.28553772,0.0,0.0,0.97981644,-0.6101265,0.47916794,-1.0694084,0.022361755,0.0,-1.3259354,0.0,-0.040649414,0.0,0.0,0.80101013,-0.3265152,0.0,0.0,-0.7926636,0.18188095,-0.9706993,0.19297409,0.0,0.0,0.0,-0.52113724,0.0,-0.11618042,0.7054901,0.0,-0.41544724,0.0,-1.092041,0.0,-0.72076035,0.8839035,0.21000671,0.24048996,0.0,-0.6886749,0.3704605,-1.3048439,0.92652893,0.5449219,0.0056610107
Jan-02,0.0,-0.8645134,0.0,-1.6471252,0.6775818,0.0,-0.094429016,-0.010822296,-0.46659088,0.0,-1.6148224,0.20407104,0.0,-0.39017487,0.35408783,-0.35101318,0.0,-0.41896057,0.67362595,0.0,0.0,0.2047844,-0.761467,0.0,-0.11606598,1.1378021,-0.23071289,0.0,1.2382698,-1.6913452,0.82611847,-0.2321434,1.1342812,-0.28899765,-0.5761223,1.0053558,-1.0043716,0.0,-1.5113297,0.0,-0.5121803,0.0,0.07662964,0.0,0.0,-0.83226776,0.7130699,0.0,0.0,1.2666702,-0.30267334,0.54629517,-0.38875198,0.33568954,-0.88368607,0.0,0.0,0.0,0.0,-0.3610611,0.0,0.0,0.0,0.7040024,-0.09382248,0.67835236,-1.5214958,0.41989517,-0.88978577,0.0,-0.31964493,-1.0519981,0.0,-0.979866,0.0,0.0,-0.0764122,-0.4510994,-0.2538948,1.0643005,-1.2673302,-0.8408394,0.0,0.0,0.0,-0.7192764,0.22384644,-0.22038269,0.0,-0.51273346,-0.7759628,0.0,-0.106731415,2.2484055,-0.3677101,0.0,0.0,0.0,-0.40555954,-2.0527954,2.956421,-1.6279526,0.0,0.0,-0.50268173,-0.39622498,-0.6884575,1.9085999,-0.8857155,1.124176,0.0,0.0,-0.016921997,-1.4031181,0.6601677,-1.1400528,0.10848999,-0.3685913,-1.1584549,0.0,-1.0349655,0.0,-1.1551552,0.0,0.10607147,-0.009666443,0.0,-1.2126694,0.680603,-0.3233261,1.2389297,-0.15716171,0.1354599,0.0,-1.5175438,0.753994,-0.118927,0.17276001,0.0,0.0,0.67219543,-0.9049988,0.0,-0.29608154,1.0713844,-0.25647354,0.0,0.8178177,-1.7672577,0.1373825,-0.39940643,0.0,0.0,0.0,0.72130966,-1.4425049,1.0451851,-0.5322876,1.0727615,0.0,0.0,0.48823166,-1.354393,0.8295784,-0.14128494,1.4345398,0.0,0.0
Jan-03,0.0,-1.619278,0.0,-0.17990112,0.54332733,0.0,0.0,-0.2761383,-1.3417587,0.52310944,-0.3355751,0.20456696,0.0,0.0,-0.052402496,-0.68977356,0.6404495,0.0,0.0,0.0,0.0,0.0,-2.159912,0.085258484,0.0,1.0465622,0.0,0.0,-0.74954224,-1.8793182,0.0,-0.098659515,0.0,0.0,-1.8321877,-1.870369,-2.829689,0.0,-0.032958984,0.5035057,-0.82035065,-0.871109,-1.3284683,-0.9599838,0.0,0.0,0.0,-0.734272,-0.40847015,-1.7624245,-0.787117,0.8168907,-1.8379021,0.06497955,0.0,-0.21923065,-0.7989273,-0.10920334,0.0,0.0,0.0,0.0,-0.012966156,-0.39336777,-1.5203972,0.0,-0.38902664,0.64390945,0.0,0.0,-0.41737366,-1.7712173,1.0856667,0.0,0.39863968,0.16078568,0.0,0.0,-1.2200317,0.56694794,-0.90104675,0.0,0.0,-0.089702606,-1.407074,-2.041973,0.0,-1.1237373,0.0,0.0,-1.2256355,-2.5012589,-1.1480141,0.0,-0.61375046,1.2208557,-0.027961731,-1.3532944,-2.249672,-0.4469757,0.748333,-0.98091507,0.0,-0.3232193,-1.7528114,-1.1027527,0.0,0.9857483,-2.4574776,0.0,-0.123981476,-1.8767395,-0.22296524,-0.4780159,1.1646614,-2.0344467,0.0,0.40275955,-0.13145447,-0.4681282,0.0,0.54536057,-0.25696945,0.0,0.0,0.0,0.0,-1.5568695,0.07789612,0.0,-0.43571854,0.0,-0.94691086,0.0,-1.320446,0.1859436,-0.61507416,-0.06586456,0.0,-0.27668762,-0.6097412,0.0,1.8022537,-1.210968,0.0,0.0,-0.0013198853,0.0,0.0,2.18359,0.0,0.0,0.0,-0.09794617,0.0,1.494194,1.0986862,0.0,0.09706497,0.0,-0.1906128,0.0,1.5966454,0.25779724,0.0,1.1208267,0.0,-0.697525
Jan-04,-0.7632179,0.6303406,0.10223007,0.0,0.61880493,0.0,-0.43192673,0.0,1.5775833,0.4586792,-0.021915436,0.8965416,0.0,-0.78739166,0.0,-0.3647995,0.6751671,0.14979553,0.109371185,0.0,-0.13716125,0.0,0.0,0.3209648,-1.0936317,1.2752914,0.0,-0.05960083,0.0,-0.088386536,0.0,-0.29470825,1.2064667,0.0,-1.1499939,0.0,0.0,0.0,-0.5587654,-2.3573914,0.0,-0.5927124,-0.79826736,0.0,0.08767319,-0.07954407,-0.2127533,0.47878265,-0.7201538,-0.8073845,0.0,0.0,-0.15068054,0.052791595,1.0465012,-0.6922493,-0.24290848,0.0,0.0,-0.5074043,0.38765717,-0.19605255,-2.452423,0.0,-0.11074448,0.34700012,-0.32992172,0.6210556,0.8280411,-2.3382187,0.0,0.0,-0.11980438,0.0,0.18758774,0.18934631,-1.9488068,-2.7749825,0.07058716,-0.0920105,0.0,3.3942795,1.2690277,-0.6342392,-0.08860397,-0.044002533,0.0,0.0,5.351219,0.032024384,-3.2610703,-0.60237885,0.8686333,0.0,-0.4563713,3.2387695,0.0,-3.0941925,-0.61050797,0.0,0.0,-0.7931595,0.39056396,0.99063873,-1.1152229,-2.4407768,0.0,0.0,-0.5111923,0.7136154,0.08838272,-3.450203,0.0,0.0,0.0,-0.37243652,1.4575577,0.6798897,-2.1377754,-1.2888069,0.0,0.0,0.79958725,1.8224106,0.0,-2.265602,-0.38117218,0.63671494,0.0,1.5575294,0.7281723,0.25559235,-0.038230896,0.39523315,0.18802643,0.0,1.0297508,0.8781357,0.46109772,-1.5075455,0.0,0.0,0.0,0.1203537,1.2133293,0.0,-0.40924072,1.8847618,0.6190262,0.07316589,0.251091,0.53442764,0.29904556,-2.5023575,1.5013962,0.39578247,0.0,0.40369415,0.645607,-0.2563095,-2.8249092,0.05196762,0.8282089,0.040756226,0.0,0.39775848,-0.35887146,-2.5481148
Jan-05,0.1557846,-0.44192505,0.0,0.0,0.5355301,0.40792465,-1.2981415,0.20022583,0.0,0.78173065,0.0,0.36760712,0.0,-1.831913,0.43390274,0.0,1.7196922,0.22565842,1.4603043,0.0,-0.9363632,0.0,0.64297485,2.0758133,0.0,0.089977264,-0.8617096,-1.7469902,0.3213501,0.124362946,1.9490318,0.6592865,0.044986725,-0.6876373,-1.3888397,0.21626663,0.7305908,0.5626068,0.0500412,1.1190643,0.0,-0.5812912,0.0,-0.21549606,0.0,0.0,0.85440445,0.29135895,-1.7824783,0.0,0.0,0.13859558,0.0,1.2823219,0.0,-2.6291924,0.0,0.0,1.4378357,0.0,0.21126556,-0.31305695,-1.9123344,0.0,0.39182663,0.9083519,0.0,0.0,0.0,1.8898659,0.0,-0.08294678,0.6269913,0.0,0.0,0.25845337,0.0,0.0,0.0,0.44505692,0.25345612,0.0,0.1354599,0.0,0.0,-1.0285416,0.0,0.7705803,0.0,0.19467545,0.0,0.0,0.024662018,0.36343002,0.09459305,0.0,2.6380348,0.0,0.0,0.0063171387,1.5147972,1.4281654,0.0,0.0,0.0,0.0,-1.1609802,-0.14326096,1.7115593,0.0,0.3807869,-0.0040626526,0.0,-0.0007133484,-0.34062958,2.1906166,0.8802223,0.8088112,-0.1506195,0.21714401,-1.0481529,0.40407944,1.0996742,0.35716248,0.010547638,-1.9482079,0.0,0.0,0.15969086,0.0,0.6744003,0.75096893,-1.925354,0.5936508,-0.36458206,0.0,0.0,0.29613876,0.0,-1.2075653,0.31173706,-0.17638397,0.0,0.8702812,0.48718643,0.0,-2.041153,1.2167358,-1.3238525,-0.33255768,0.48059464,0.5931015,0.0,-2.3600845,0.7809105,-1.1417007,-0.118873596,0.82364273,0.56228256,0.0,-1.239914,0.7261963,-0.84869385,-0.45143127,0.0,0.22977829,0.0,-1.4725494
Jan-06,0.25373077,0.0,-0.357769,0.16556549,1.2298622,0.0,-1.61483,0.36045837,-1.0404053,0.0,0.4081421,2.0501556,0.0,-0.7315788,0.12601471,-0.79452896,0.29344177,0.44895554,0.86621857,0.0,-0.021202087,0.0,-1.3410454,-0.8294678,1.6391602,0.03603363,0.2477417,-0.2943802,0.275589,-1.6834373,0.52970886,1.3732376,1.3020973,0.916481,-0.6723099,0.9895935,-0.5384407,-0.7661896,1.3612595,1.0007477,0.08306122,-0.24664307,0.026477814,-1.6188889,-1.1760292,0.0,0.12228012,0.7697563,-1.9650116,1.0199165,-0.6200676,-0.6601143,2.460228,0.48493195,1.2438164,-1.5328674,0.7759094,-1.1243973,0.0,3.8476295,0.9825096,0.0051651,-3.0514526,0.6905441,-2.5129585,0.0,0.3473854,1.5576439,0.0,-1.8109856,0.0,-2.711975,0.0,0.37507248,0.3387642,0.0,-0.99557877,0.0,-2.3081741,0.0,0.36090088,1.6588783,0.0,-0.4115486,0.0,-2.4903793,0.0,1.3322029,-0.13595581,0.0,-0.6820297,0.0,-3.2406921,0.0,1.2577705,0.31865692,1.7690735,-1.940239,0.0,-3.2783203,0.0,2.398098,-0.07662964,0.0,-2.3646393,0.0,-4.11306,0.0,0.0,0.0,0.8981323,-2.131565,0.0,-3.743538,0.0,0.94257355,0.0,0.0,-2.1705704,0.0,-3.1786194,0.08948517,0.022911072,-0.988884,0.0,-0.5876579,0.0,-0.86511993,-0.10244751,0.19950867,0.14859009,2.4456139,-1.345665,0.0,-2.7467995,0.0,0.79315567,0.0,3.774189,-1.1164856,-0.3681488,-3.8088531,0.0,0.313385,0.009727478,0.14947128,-0.8937378,0.0,-1.9294205,0.0,0.3554077,0.6593971,0.0,-0.75712204,0.0,0.0,0.0,0.97042084,0.22917175,0.0,-1.5304527,0.0,-1.0137634,0.28855515,0.4567566,0.18352509,0.0,-1.4425621
Jan-07,-0.30031586,-0.8252907,0.1043129,0.3345871,0.33629227,0.0,-1.5624771,0.5046005,-1.2568893,0.0,1.7404556,0.4482994,2.9095612,-0.6300659,0.45999527,-1.5570374,0.0,1.8615227,0.27345276,1.0240326,-1.1263199,0.5996933,-0.80864716,0.0,0.4908142,0.0,0.64627075,-0.5965576,0.6416588,-0.64253616,0.0,1.0780869,0.0,0.050483704,-2.1148148,1.1658707,-1.0407372,0.0,0.96339035,0.0,0.47548676,-1.298584,1.1065407,-1.0717697,0.0,1.5866432,0.7320709,0.30630112,-1.5699997,0.0,-1.9181595,0.0,1.1504364,2.520813,0.8885193,-0.64583206,0.16298294,-1.2627678,0.0,1.543026,1.7747841,1.6092224,-0.5366821,0.07327652,-1.1295052,-0.594635,1.392189,0.9429016,2.9051666,-1.3233032,0.86000824,-2.50708,-0.18489838,-0.053066254,0.37672043,0.7592125,-0.60891724,0.29888535,-2.3605232,-0.121837616,1.888607,0.0,3.5550652,-1.180481,1.0072784,-1.1479607,-0.23631287,0.0,0.0,3.0076752,-2.032524,0.054218292,-0.5662346,0.0,0.0,0.0,3.6660805,-1.2273369,0.41402054,-0.53536224,0.0,2.8633652,1.6338882,1.4074593,-0.75629807,0.0,-2.3403091,-1.6275673,1.320282,0.9259796,1.2902336,-0.75673676,0.7143326,-1.0343094,-0.115737915,1.884758,0.0,0.017414093,-0.72938156,0.5867233,-1.8274117,0.0,0.0,1.5189171,3.0294228,-0.9140053,-0.5545349,-1.4637108,0.0,0.14414215,0.0,1.939415,-2.1809006,0.0,-1.0234833,1.4071808,0.0,0.2378006,1.2324448,-2.4032593,0.0,-0.3129959,2.5857391,0.82644653,0.599144,0.9644394,-1.4485474,-0.3902359,-1.5001297,2.3823318,1.3474731,0.14167023,1.2527161,-0.13820648,-0.22774887,-1.4433823,0.0,0.5053139,0.0,1.3693886,-0.009002686,0.0,-1.7417755,1.1148949,0.19434357,0.0,1.5859833,-0.35645294
